PROCESS	Ref_num	List_num	expected	upload_1 (over/under)	upload_1 (fold Enrichment)	pval	FDR
dihydrofolate metabolic process (GO:0046452)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
diaminopimelate metabolic process (GO:0046451)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
sulfur compound catabolic process (GO:0044273)	14	0	0.49	-	 < 0.01	1.00E+00	1.00E+00
late endosome to Golgi transport (GO:0034499)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
early endosome to Golgi transport (GO:0034498)	11	0	0.38	-	 < 0.01	1.00E+00	1.00E+00
protein localization to phagophore assembly site (GO:0034497)	20	0	0.69	-	 < 0.01	1.00E+00	1.00E+00
multivesicular body membrane disassembly (GO:0034496)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
basic amino acid transmembrane import into vacuole (GO:0034490)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
regulation of transcriptional start site selection at RNA polymerase II promoter (GO:0001178)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
positive regulation of gamma-aminobutyric acid catabolic process (GO:1901717)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
RNA-templated transcription (GO:0001172)	12	0	0.42	-	 < 0.01	1.00E+00	1.00E+00
FMN metabolic process (GO:0046444)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
regulation of gamma-aminobutyric acid catabolic process (GO:1901715)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
FAD metabolic process (GO:0046443)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
positive regulation of urea catabolic process (GO:1901714)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
L-lysine metabolic process (GO:0046440)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
regulation of homoserine biosynthetic process (GO:1901710)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
regulation of histidine biosynthetic process (GO:0120213)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
raffinose catabolic process (GO:0034484)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
L-cysteine metabolic process (GO:0046439)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
phosphatidylglycerol catabolic process (GO:0034478)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
U6 snRNA 3'-end processing (GO:0034477)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
positive regulation of DNA-templated DNA replication initiation (GO:0032298)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
negative regulation of DNA-templated DNA replication initiation (GO:0032297)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
small-subunit processome assembly (GO:0034462)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
D-amino acid metabolic process (GO:0046416)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
positive regulation of amino acid biosynthetic process (GO:2000284)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
regulation of cellular amino acid biosynthetic process (GO:2000282)	7	0	0.24	-	 < 0.01	1.00E+00	1.00E+00
microtubule anchoring (GO:0034453)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
positive regulation of protein polymerization (GO:0032273)	13	0	0.45	-	 < 0.01	1.00E+00	1.00E+00
protein repair (GO:0030091)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
negative regulation of DNA biosynthetic process (GO:2000279)	7	0	0.24	-	 < 0.01	1.00E+00	1.00E+00
regulation of DNA biosynthetic process (GO:2000278)	14	0	0.49	-	 < 0.01	1.00E+00	1.00E+00
fluid transport (GO:0042044)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
lipid oxidation (GO:0034440)	18	0	0.62	-	 < 0.01	1.00E+00	1.00E+00
XMP salvage (GO:0032265)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
IMP salvage (GO:0032264)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
GMP salvage (GO:0032263)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
pyrimidine nucleotide salvage (GO:0032262)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
purine nucleotide salvage (GO:0032261)	7	0	0.24	-	 < 0.01	1.00E+00	1.00E+00
protein-DNA complex remodeling (GO:0001120)	7	0	0.24	-	 < 0.01	1.00E+00	1.00E+00
"peptidyl-histidine methylation, to form tele-methylhistidine (GO:0042038)"	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
CTP salvage (GO:0044211)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
'de novo' CTP biosynthetic process (GO:0044210)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
transcription open complex formation at RNA polymerase II promoter (GO:0001113)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
DNA-templated transcription open complex formation (GO:0001112)	7	0	0.24	-	 < 0.01	1.00E+00	1.00E+00
RNA polymerase II promoter clearance (GO:0001111)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
AMP salvage (GO:0044209)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
'de novo' AMP biosynthetic process (GO:0044208)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
UMP salvage (GO:0044206)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
'de novo' UMP biosynthetic process (GO:0044205)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
promoter clearance during DNA-templated transcription (GO:0001109)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
positive regulation of nucleobase-containing compound transport (GO:0032241)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
negative regulation of nucleobase-containing compound transport (GO:0032240)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
regulation of nucleobase-containing compound transport (GO:0032239)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
cell wall (1->3)-beta-D-glucan biosynthetic process (GO:0034411)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
positive regulation of actin filament bundle assembly (GO:0032233)	7	0	0.24	-	 < 0.01	1.00E+00	1.00E+00
negative regulation of actin filament bundle assembly (GO:0032232)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
regulation of actin filament bundle assembly (GO:0032231)	15	0	0.52	-	 < 0.01	1.00E+00	1.00E+00
cellular oxidant detoxification (GO:0098869)	31	0	1.07	-	 < 0.01	6.26E-01	1.00E+00
"positive regulation of vacuole fusion, non-autophagic (GO:0061191)"	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
regulation of tRNA export from nucleus (GO:2000238)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
nuclear migration by microtubule mediated pushing forces (GO:0098863)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
positive regulation of tRNA processing (GO:2000237)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
regulation of tRNA processing (GO:2000235)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
positive regulation of rRNA processing (GO:2000234)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
regulation of rRNA processing (GO:2000232)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
cell wall (1->3)-beta-D-glucan metabolic process (GO:0034407)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
mannose trimming involved in glycoprotein ERAD pathway (GO:1904382)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
nucleobase-containing small molecule biosynthetic process (GO:0034404)	10	0	0.35	-	 < 0.01	1.00E+00	1.00E+00
endoplasmic reticulum mannose trimming (GO:1904380)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
plasma membrane fusion involved in cytogamy (GO:0032220)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
actin filament depolymerization (GO:0030042)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
actin filament polymerization (GO:0030041)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
DNA double-strand break attachment to nuclear envelope (GO:1990683)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
negative regulation of pyrimidine nucleobase metabolic process (GO:0045984)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
positive regulation of nucleotide metabolic process (GO:0045981)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
positive regulation of pseudohyphal growth (GO:2000222)	10	0	0.35	-	 < 0.01	1.00E+00	1.00E+00
negative regulation of pseudohyphal growth (GO:2000221)	10	0	0.35	-	 < 0.01	1.00E+00	1.00E+00
riboflavin transport (GO:0032218)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
positive regulation of telomere maintenance via telomerase (GO:0032212)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
negative regulation of telomere maintenance via telomerase (GO:0032211)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
regulation of telomere maintenance via telomerase (GO:0032210)	10	0	0.35	-	 < 0.01	1.00E+00	1.00E+00
negative regulation of invasive growth in response to glucose limitation (GO:2000218)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
positive regulation of proline metabolic process (GO:2000216)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
protein localization to cell division site after cytokinesis (GO:0098841)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
regulation of proline metabolic process (GO:2000214)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
positive regulation of glutamate metabolic process (GO:2000213)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
tRNA acetylation (GO:0051391)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
regulation of glutamate metabolic process (GO:2000211)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
response to sulfur dioxide (GO:0010477)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
positive regulation of telomere maintenance (GO:0032206)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
negative regulation of telomere maintenance (GO:0032205)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
telomere assembly (GO:0032202)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
endoplasmic reticulum polarization (GO:0061163)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
folate transmembrane transport (GO:0098838)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
kinetochore organization (GO:0051383)	12	0	0.42	-	 < 0.01	1.00E+00	1.00E+00
regulation of ribosomal large subunit export from nucleus (GO:2000203)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
positive regulation of telomere maintenance via telomere lengthening (GO:1904358)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
kinetochore assembly (GO:0051382)	10	0	0.35	-	 < 0.01	1.00E+00	1.00E+00
negative regulation of telomere maintenance via telomere lengthening (GO:1904357)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
regulation of telomere maintenance via telomere lengthening (GO:1904356)	10	0	0.35	-	 < 0.01	1.00E+00	1.00E+00
3'-UTR-mediated mRNA destabilization (GO:0061158)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
cellular response to reactive nitrogen species (GO:1902170)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
protein maturation by protein folding (GO:0022417)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
maintenance of cell polarity (GO:0030011)	10	0	0.35	-	 < 0.01	1.00E+00	1.00E+00
positive regulation of mitotic recombination (GO:0045951)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
negative regulation of mitotic recombination (GO:0045950)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
response to lipid (GO:0033993)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
actin polymerization or depolymerization (GO:0008154)	7	0	0.24	-	 < 0.01	1.00E+00	1.00E+00
para-aminobenzoic acid biosynthetic process (GO:0008153)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
positive regulation of cell-cell adhesion (GO:0022409)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
regulation of cell-cell adhesion (GO:0022407)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
positive regulation of translational initiation (GO:0045948)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
negative regulation of translational initiation (GO:0045947)	7	0	0.24	-	 < 0.01	1.00E+00	1.00E+00
cell cycle phase (GO:0022403)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
response to iron ion starvation (GO:1990641)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
positive regulation of transcription by RNA polymerase I (GO:0045943)	23	0	0.8	-	 < 0.01	1.00E+00	1.00E+00
cellular response to potassium ion starvation (GO:0051365)	7	0	0.24	-	 < 0.01	1.00E+00	1.00E+00
positive regulation of steroid metabolic process (GO:0045940)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
response to acidic pH (GO:0010447)	13	0	0.45	-	 < 0.01	1.00E+00	1.00E+00
negative regulation of steroid metabolic process (GO:0045939)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
positive regulation of ligase activity (GO:0051351)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
box H/ACA sno(s)RNA metabolic process (GO:0033979)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
regulation of dipeptide transport (GO:0090089)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
regulation of oligopeptide transport (GO:0090088)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
regulation of protein deubiquitination (GO:0090085)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
regulation of inclusion body assembly (GO:0090083)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
negative regulation of cytoplasmic translational initiation in response to stress (GO:1990625)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
positive regulation of lyase activity (GO:0051349)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
negative regulation of growth (GO:0045926)	15	0	0.52	-	 < 0.01	1.00E+00	1.00E+00
negative regulation of transferase activity (GO:0051348)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
positive regulation of transferase activity (GO:0051347)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
positive regulation of hydrolase activity (GO:0051345)	17	0	0.59	-	 < 0.01	1.00E+00	1.00E+00
negative regulation of fatty acid metabolic process (GO:0045922)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
regulation of ligase activity (GO:0051340)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
box C/D sno(s)RNA metabolic process (GO:0033967)	13	0	0.45	-	 < 0.01	1.00E+00	1.00E+00
P-body assembly (GO:0033962)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
magnesium ion export from mitochondrion (GO:1990616)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
regulation of lyase activity (GO:0051339)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
positive regulation of ribosome biogenesis (GO:0090070)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
regulation of cytoplasmic translational initiation in response to stress (GO:1990611)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
positive regulation of carbohydrate metabolic process (GO:0045913)	12	0	0.42	-	 < 0.01	1.00E+00	1.00E+00
positive regulation of DNA recombination (GO:0045911)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
protein localization to microtubule cytoskeleton (GO:0072698)	9	0	0.31	-	 < 0.01	1.00E+00	1.00E+00
mannan metabolic process (GO:0010412)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
regulation of ribosome biogenesis (GO:0090069)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
positive regulation of microtubule nucleation (GO:0090063)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
regulation of trehalose metabolic process (GO:0090062)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
mitotic interphase (GO:0051329)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
positive regulation of translational termination (GO:0045905)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
interphase (GO:0051325)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
positive regulation of translational elongation (GO:0045901)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
negative regulation of translational elongation (GO:0045900)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
alkanesulfonate metabolic process (GO:0019694)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
negative regulation of organelle assembly (GO:1902116)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
deoxyribose phosphate metabolic process (GO:0019692)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
positive regulation of silent mating-type cassette heterochromatin formation (GO:0090055)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
G1 phase (GO:0051318)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
attachment of meiotic spindle microtubules to kinetochore (GO:0051316)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
attachment of mitotic spindle microtubules to kinetochore (GO:0051315)	8	0	0.28	-	 < 0.01	1.00E+00	1.00E+00
meiotic metaphase chromosome alignment (GO:0051311)	7	0	0.24	-	 < 0.01	1.00E+00	1.00E+00
glyceraldehyde-3-phosphate metabolic process (GO:0019682)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
mitochondria-associated ubiquitin-dependent protein catabolic process (GO:0072671)	13	0	0.45	-	 < 0.01	1.00E+00	1.00E+00
mitochondrial tRNA threonylcarbamoyladenosine modification (GO:0072670)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
negative regulation of metaphase/anaphase transition of meiotic cell cycle (GO:1902103)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
regulation of metaphase/anaphase transition of meiotic cell cycle (GO:1902102)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
positive regulation of metaphase/anaphase transition of cell cycle (GO:1902101)	8	0	0.28	-	 < 0.01	1.00E+00	1.00E+00
meiotic chromosome separation (GO:0051307)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
cell adhesion involved in single-species biofilm formation (GO:0043709)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
chromosome separation (GO:0051304)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
cell adhesion involved in biofilm formation (GO:0043708)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
"propionate metabolic process, methylcitrate cycle (GO:0019679)"	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
spindle pole body organization (GO:0051300)	24	0	0.83	-	 < 0.01	1.00E+00	1.00E+00
NAD catabolic process (GO:0019677)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
ammonia assimilation cycle (GO:0019676)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
GDP-mannose metabolic process (GO:0019673)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
establishment of protein localization to peroxisome (GO:0072663)	25	0	0.87	-	 < 0.01	1.00E+00	1.00E+00
protein localization to peroxisome (GO:0072662)	25	0	0.87	-	 < 0.01	1.00E+00	1.00E+00
"dehydro-D-arabinono-1,4-lactone biosynthetic process (GO:0070485)"	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
"dehydro-D-arabinono-1,4-lactone metabolic process (GO:0070484)"	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
"nuclear-transcribed mRNA catabolic process, non-stop decay (GO:0070481)"	14	0	0.49	-	 < 0.01	1.00E+00	1.00E+00
non-glycolytic fermentation (GO:0019662)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
"nuclear-transcribed mRNA catabolic process, 5'-3' exonucleolytic nonsense-mediated decay (GO:0070479)"	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
"nuclear-transcribed mRNA catabolic process, 3'-5' exonucleolytic nonsense-mediated decay (GO:0070478)"	8	0	0.28	-	 < 0.01	1.00E+00	1.00E+00
glycolytic fermentation (GO:0019660)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
negative regulation of IRE1-mediated unfolded protein response (GO:1903895)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
rRNA (guanine-N7)-methylation (GO:0070476)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
rRNA base methylation (GO:0070475)	7	0	0.24	-	 < 0.01	1.00E+00	1.00E+00
glycolytic fermentation to ethanol (GO:0019655)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
acetate fermentation (GO:0019654)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
plus-end specific microtubule depolymerization (GO:0070462)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
aerobic electron transport chain (GO:0019646)	38	0	1.32	-	 < 0.01	6.42E-01	1.00E+00
negative regulation of mitotic DNA replication initiation from late origin (GO:0101018)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
regulation of mitotic DNA replication initiation from late origin (GO:0101017)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
cellular detoxification of nitrogen compound (GO:0070458)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
negative regulation of DNA recombinase mediator complex assembly (GO:1903873)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
regulation of DNA recombinase mediator complex assembly (GO:1903872)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
positive regulation of ergosterol biosynthetic process (GO:0070452)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
arsenate ion transmembrane transport (GO:1901684)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
"propionate catabolic process, 2-methylcitrate cycle (GO:0019629)"	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
urea metabolic process (GO:0019627)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
short-chain fatty acid catabolic process (GO:0019626)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
nucleotide transmembrane transport (GO:1901679)	17	0	0.59	-	 < 0.01	1.00E+00	1.00E+00
iron coordination entity transport (GO:1901678)	20	0	0.69	-	 < 0.01	1.00E+00	1.00E+00
regulation of mitotic spindle assembly (GO:1901673)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
stress-induced homeostatically regulated protein degradation pathway (GO:0120174)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
"3,4-dihydroxybenzoate catabolic process (GO:0019619)"	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
catechol-containing compound catabolic process (GO:0019614)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
5-phosphoribose 1-diphosphate metabolic process (GO:0046391)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
cellular response to cold (GO:0070417)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
positive regulation of cellular response to amino acid starvation (GO:1903833)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
glycosyl compound biosynthetic process (GO:1901659)	14	0	0.49	-	 < 0.01	1.00E+00	1.00E+00
regulation of cellular response to amino acid starvation (GO:1903832)	7	0	0.24	-	 < 0.01	1.00E+00	1.00E+00
glycosyl compound catabolic process (GO:1901658)	10	0	0.35	-	 < 0.01	1.00E+00	1.00E+00
deoxyribose phosphate catabolic process (GO:0046386)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
glycosyl compound metabolic process (GO:1901657)	26	0	0.9	-	 < 0.01	1.00E+00	1.00E+00
magnesium ion transmembrane transport (GO:1903830)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
deoxyribose phosphate biosynthetic process (GO:0046385)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
glycoside transport (GO:1901656)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
cellular response to ketone (GO:1901655)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
response to ketone (GO:1901654)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
negative regulation of transcription initiation by RNA polymerase II (GO:0060633)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
regulation of meiosis I (GO:0060631)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
negative regulation of protein localization (GO:1903828)	11	0	0.38	-	 < 0.01	1.00E+00	1.00E+00
L-arginine transmembrane transport (GO:1903826)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
oxidation-dependent protein catabolic process (GO:0070407)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
L-arabinose metabolic process (GO:0046373)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
nucleoside transmembrane transport (GO:1901642)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
regulation of ER to Golgi vesicle-mediated transport (GO:0060628)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
regulation of chromosome condensation (GO:0060623)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
negative regulation of calcium-mediated signaling (GO:0050849)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
regulation of calcium-mediated signaling (GO:0050848)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
monosaccharide biosynthetic process (GO:0046364)	16	0	0.55	-	 < 0.01	1.00E+00	1.00E+00
cinnamic acid metabolic process (GO:0009803)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
L-glutamate biosynthetic process (GO:0097054)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
L-kynurenine catabolic process (GO:0097053)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
L-kynurenine metabolic process (GO:0097052)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
establishment of protein localization to endoplasmic reticulum membrane (GO:0097051)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
negative regulation of actin cortical patch assembly (GO:0120133)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
acetyl-CoA catabolic process (GO:0046356)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
mannan biosynthetic process (GO:0046354)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
disaccharide catabolic process (GO:0046352)	12	0	0.42	-	 < 0.01	1.00E+00	1.00E+00
replication fork progression beyond termination site (GO:0097046)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
nitrogen catabolite activation of transcription from RNA polymerase II promoter (GO:0001080)	9	0	0.31	-	 < 0.01	1.00E+00	1.00E+00
response to zinc ion starvation (GO:0120127)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
mating (GO:0007618)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
telomere tethering at nuclear periphery (GO:0034398)	21	0	0.73	-	 < 0.01	1.00E+00	1.00E+00
telomere localization (GO:0034397)	23	0	0.8	-	 < 0.01	1.00E+00	1.00E+00
response to freezing (GO:0050826)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
protein localization to cell surface (GO:0034394)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
protein stabilization (GO:0050821)	14	0	0.49	-	 < 0.01	1.00E+00	1.00E+00
amino sugar catabolic process (GO:0046348)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
regulation of plasma membrane sterol distribution (GO:0097036)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
CDP-diacylglycerol metabolic process (GO:0046341)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
regulation of steroid biosynthetic process (GO:0050810)	7	0	0.24	-	 < 0.01	1.00E+00	1.00E+00
diacylglycerol metabolic process (GO:0046339)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
phosphatidylethanolamine metabolic process (GO:0046337)	10	0	0.35	-	 < 0.01	1.00E+00	1.00E+00
