FUNCTION	Ref_num	List_num	expected	over under	foldEnrichment	pval	FDR
UDP-alpha-D-glucose:glucosyl-glycogenin alpha-D-glucosyltransferase activity (GO:0102751)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
splicing factor binding (GO:1990935)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
nuclear export signal receptor activity (GO:0005049)	4	0	.14	-	 < 0.01	1.00E00	1.00E00
5.8S rRNA binding (GO:1990932)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
signal recognition particle binding (GO:0005047)	5	0	.17	-	 < 0.01	1.00E00	1.00E00
double-stranded DNA exodeoxyribonuclease activity (GO:0008309)	4	0	.14	-	 < 0.01	1.00E00	1.00E00
voltage-gated monoatomic anion channel activity (GO:0008308)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
inositol hexakisphosphate 5-kinase activity (GO:0000832)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
inositol hexakisphosphate 6-kinase activity (GO:0000831)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
inositol hexakisphosphate 4-kinase activity (GO:0000830)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
DNA binding, bending (GO:0008301)	24	0	.84	-	 < 0.01	1.00E00	1.00E00
amino-acid racemase activity (GO:0047661)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
acetylpyruvate hydrolase activity (GO:0018773)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
osmosensor activity (GO:0005034)	4	0	.14	-	 < 0.01	1.00E00	1.00E00
methylthioribulose 1-phosphate dehydratase activity (GO:0046570)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
amino acid binding (GO:0016597)	5	0	.17	-	 < 0.01	1.00E00	1.00E00
inositol heptakisphosphate kinase activity (GO:0000829)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
inositol hexakisphosphate kinase activity (GO:0000828)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
glycine binding (GO:0016594)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
inositol-1,3,4,5,6-pentakisphosphate kinase activity (GO:0000827)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
inositol tetrakisphosphate 6-kinase activity (GO:0000825)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
inositol tetrakisphosphate 3-kinase activity (GO:0000824)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
inositol-1,4,5-trisphosphate 6-kinase activity (GO:0000823)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
ubiquitin-like protein conjugating enzyme binding (GO:0044390)	6	0	.21	-	 < 0.01	1.00E00	1.00E00
allyl-alcohol dehydrogenase activity (GO:0047655)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
3-methylbutanal reductase [NAD(P)H] activity (GO:0046568)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
diacylglycerol diphosphate phosphatase activity (GO:0000810)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
glutathione binding (GO:0043295)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
non-ribosomal peptide synthetase activity (GO:1904091)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
glucan endo-1,6-beta-glucosidase activity (GO:0046557)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
histone H3K4 trimethyltransferase activity (GO:0140999)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
histone H2B kinase activity (GO:0140998)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
histone H3 kinase activity (GO:0140996)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
RNA polymerase II CTD heptapeptide repeat modifying activity (GO:0140994)	8	0	.28	-	 < 0.01	1.00E00	1.00E00
trichothecene 3-O-acetyltransferase activity (GO:0045462)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
RNA polymerase II cis-regulatory region sequence-specific DNA binding, bending (GO:0044377)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
sequence-specific DNA binding, bending (GO:0044374)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
cholesterol binding (GO:0015485)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
peptide-alanine-alpha-N-acetyltransferase activity (GO:0008999)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
alanine-oxo-acid transaminase activity (GO:0047635)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
trans-aconitate 3-methyltransferase activity (GO:0046547)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
ADP-ribose diphosphatase activity (GO:0047631)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
linear primary-alkylsulfatase activity (GO:0018741)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
rRNA (guanine-N1-)-methyltransferase activity (GO:0008989)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
aspartic-type endopeptidase inhibitor activity (GO:0019828)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
adenosine 3',5'-bisphosphate transmembrane transporter activity (GO:0071077)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
GDP-Man:Man2GlcNAc2-PP-dolichol alpha-1,6-mannosyltransferase activity (GO:0102704)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
oxygen binding (GO:0019825)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
eukaryotic initiation factor eIF2 binding (GO:0071074)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
S-formylglutathione hydrolase activity (GO:0018738)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
adenosine-phosphate deaminase activity (GO:0047623)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
2,3-bisphosphoglycerate-dependent phosphoglycerate mutase activity (GO:0046538)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
prephenate dehydrogenase (NAD+) activity (GO:0008977)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphopentomutase activity (GO:0008973)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
fatty acyl-CoA hydrolase activity (GO:0047617)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
phosphomethylpyrimidine kinase activity (GO:0008972)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
D-xylulose reductase activity (GO:0046526)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
S-methyl-5-thioribose-1-phosphate isomerase activity (GO:0046523)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
uridine nucleosidase activity (GO:0045437)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol phosphate 4-phosphatase activity (GO:0034596)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol trisphosphate phosphatase activity (GO:0034594)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
oxidoreduction-driven active transmembrane transporter activity (GO:0015453)	30	0	1.04	-	 < 0.01	6.25E-01	1.00E00
phosphoglycolate phosphatase activity (GO:0008967)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
protein-transporting ATPase activity (GO:0015450)	4	0	.14	-	 < 0.01	1.00E00	1.00E00
phosphatidylglycerophosphatase activity (GO:0008962)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
histone H3K79 trimethyltransferase activity (GO:0140956)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
superoxide dismutase copper chaperone activity (GO:0016532)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
copper chaperone activity (GO:0016531)	5	0	.17	-	 < 0.01	1.00E00	1.00E00
metallochaperone activity (GO:0016530)	9	0	.31	-	 < 0.01	1.00E00	1.00E00
S-adenosyl-L-methionine binding (GO:1904047)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
ABC-type peptide transporter activity (GO:0015440)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
hydrolase activity, acting on carbon-sulfur bonds (GO:0046508)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
histone H2A methyltransferase activity (GO:0140940)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
peptide alpha-N-acetyltransferase activity (GO:0004596)	10	0	.35	-	 < 0.01	1.00E00	1.00E00
pantetheine-phosphate adenylyltransferase activity (GO:0004595)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
pantothenate kinase activity (GO:0004594)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
pantoate-beta-alanine ligase activity (GO:0004592)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
oxoglutarate dehydrogenase (succinyl-transferring) activity (GO:0004591)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
oxaloacetate decarboxylase activity (GO:0008948)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
orotidine-5'-phosphate decarboxylase activity (GO:0004590)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
nitric oxide dioxygenase NAD(P)H activity (GO:0008941)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
5'-(N(7)-methylguanosine 5'-triphospho)-[mRNA] hydrolase activity (GO:0140933)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
AP-1 adaptor complex binding (GO:0035650)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
5'-(N(7)-methyl 5'-triphosphoguanosine)-[mRNA] diphosphatase activity (GO:0140932)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
orotate phosphoribosyltransferase activity (GO:0004588)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
ornithine aminotransferase activity (GO:0004587)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
ornithine decarboxylase activity (GO:0004586)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
ornithine carbamoyltransferase activity (GO:0004585)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
dolichyl-phosphate-glucose-glycolipid alpha-glucosyltransferase activity (GO:0004583)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
dolichyl-phosphate beta-D-mannosyltransferase activity (GO:0004582)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
dolichyl-phosphate beta-glucosyltransferase activity (GO:0004581)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
nicotinamidase activity (GO:0008936)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
inositol monophosphate 1-phosphatase activity (GO:0008934)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
fructose 1,6-bisphosphate 1-phosphatase activity (GO:0042132)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
thiamine phosphate phosphatase activity (GO:0042131)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
dolichyl-diphosphooligosaccharide-protein glycotransferase activity (GO:0004579)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
pheromone receptor activity (GO:0016503)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
chitobiosyldiphosphodolichol beta-mannosyltransferase activity (GO:0004578)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase activity (GO:0004577)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
oligosaccharyl transferase activity (GO:0004576)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
sucrose alpha-glucosidase activity (GO:0004575)	8	0	.28	-	 < 0.01	1.00E00	1.00E00
oligo-1,6-glucosidase activity (GO:0004574)	7	0	.24	-	 < 0.01	1.00E00	1.00E00
Glc3Man9GlcNAc2 oligosaccharide glucosidase activity (GO:0004573)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
mannosyl-oligosaccharide 1,2-alpha-mannosidase activity (GO:0004571)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
1,3-beta-glucanosyltransferase activity (GO:0042124)	5	0	.17	-	 < 0.01	1.00E00	1.00E00
glucanosyltransferase activity (GO:0042123)	5	0	.17	-	 < 0.01	1.00E00	1.00E00
chitinase activity (GO:0004568)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
beta-fructofuranosidase activity (GO:0004564)	8	0	.28	-	 < 0.01	1.00E00	1.00E00
diacetyl reductase ((S)-acetoin forming) (NAD+) activity (GO:0052588)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
diacetyl reductase ((R)-acetoin forming) (NAD+) activity (GO:0052587)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
D-aminoacyl-tRNA deacylase activity (GO:0051499)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
alpha-mannosidase activity (GO:0004559)	6	0	.21	-	 < 0.01	1.00E00	1.00E00
alpha-1,4-glucosidase activity (GO:0004558)	8	0	.28	-	 < 0.01	1.00E00	1.00E00
alpha-amylase activity (GO:0004556)	7	0	.24	-	 < 0.01	1.00E00	1.00E00
alpha,alpha-trehalase activity (GO:0004555)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
octanol dehydrogenase (NAD+) activity (GO:0004552)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
dinucleotide phosphatase activity (GO:0004551)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
nucleoside diphosphate kinase activity (GO:0004550)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
integrase activity (GO:0008907)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
hydroxymethylpyrimidine kinase activity (GO:0008902)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
ferredoxin hydrogenase activity (GO:0008901)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
clathrin adaptor activity (GO:0035615)	7	0	.24	-	 < 0.01	1.00E00	1.00E00
pyridoxal phosphate binding (GO:0030170)	39	0	1.36	-	 < 0.01	6.46E-01	1.00E00
tRNA-specific ribonuclease activity (GO:0004549)	14	0	.49	-	 < 0.01	1.00E00	1.00E00
rDNA binding (GO:0000182)	17	0	.59	-	 < 0.01	1.00E00	1.00E00
poly(A)-specific ribonuclease activity (GO:0004535)	6	0	.21	-	 < 0.01	1.00E00	1.00E00
5'-3' RNA exonuclease activity (GO:0004534)	5	0	.17	-	 < 0.01	1.00E00	1.00E00
ureidoglycolate lyase activity (GO:0050385)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
preribosome binding (GO:1990275)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
signaling receptor complex adaptor activity (GO:0030159)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
methylglyoxal reductase (NADPH) activity (GO:0043892)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating) activity (GO:0043891)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
rRNA (adenine-N6,N6-)-dimethyltransferase activity (GO:0000179)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
ribonuclease MRP activity (GO:0000171)	8	0	.28	-	 < 0.01	1.00E00	1.00E00
phosphodiesterase I activity (GO:0004528)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
sphingosine hydroxylase activity (GO:0000170)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
ribonuclease P activity (GO:0004526)	10	0	.35	-	 < 0.01	1.00E00	1.00E00
ribonuclease III activity (GO:0004525)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
RNA-DNA hybrid ribonuclease activity (GO:0004523)	50	0	1.74	-	 < 0.01	4.21E-01	1.00E00
RNA polymerase II C-terminal domain phosphoserine binding (GO:1990269)	6	0	.21	-	 < 0.01	1.00E00	1.00E00
manganese ion binding (GO:0030145)	8	0	.28	-	 < 0.01	1.00E00	1.00E00
nicotinate phosphoribosyltransferase activity (GO:0004516)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
nicotinate-nucleotide adenylyltransferase activity (GO:0004515)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
inositol-3-phosphate synthase activity (GO:0004512)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
histone H2AQ104 methyltransferase activity (GO:1990259)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
alpha-aminoacyl-tRNA binding (GO:1904678)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
acireductone synthase activity (GO:0043874)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
3'-tRNA processing endoribonuclease activity (GO:0042781)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphorelay response regulator activity (GO:0000156)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
phosphorelay sensor kinase activity (GO:0000155)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
DNA strand exchange activity (GO:0000150)	5	0	.17	-	 < 0.01	1.00E00	1.00E00
beta-1,4-mannosyltransferase activity (GO:0019187)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
kynurenine 3-monooxygenase activity (GO:0004502)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
triokinase activity (GO:0050354)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
N6-methyladenosine-containing RNA reader activity (GO:1990247)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
methionine transmembrane transporter activity (GO:0043865)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
indoleacetamide hydrolase activity (GO:0043864)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
XMP 5'-nucleosidase activity (GO:0106411)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
DNA/RNA hybrid binding (GO:0071667)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphatidylcholine binding (GO:0031210)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
L-cysteine binding (GO:1902485)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
metallodipeptidase activity (GO:0070573)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
acylglycerone-phosphate reductase (NADP+) activity (GO:0000140)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
Glc2Man9GlcNAc2 oligosaccharide glucosidase activity (GO:0106407)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
glyoxalase III activity (GO:0019172)	4	0	.14	-	 < 0.01	1.00E00	1.00E00
(3R)-hydroxyacyl-[acyl-carrier-protein] dehydratase activity (GO:0019171)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
methylglyoxal reductase (NADH) activity (GO:0019170)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
mitochondrial ribosome binding (GO:0097177)	7	0	.24	-	 < 0.01	1.00E00	1.00E00
uridylyltransferase activity (GO:0070569)	4	0	.14	-	 < 0.01	1.00E00	1.00E00
guanylyltransferase activity (GO:0070568)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
cytidylyltransferase activity (GO:0070567)	5	0	.17	-	 < 0.01	1.00E00	1.00E00
adenylyltransferase activity (GO:0070566)	18	0	.63	-	 < 0.01	1.00E00	1.00E00
transcription coactivator binding (GO:0001223)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
transcription corepressor binding (GO:0001222)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
transcription coregulator binding (GO:0001221)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
thiaminase activity (GO:0050334)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
glycerol-1-phosphatase activity (GO:0000121)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
mannokinase activity (GO:0019158)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
protein-disulfide reductase (glutathione) activity (GO:0019153)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
acetoin dehydrogenase (NAD+) activity (GO:0019152)	4	0	.14	-	 < 0.01	1.00E00	1.00E00
protein-L-histidine N-tele-methyltransferase activity (GO:0018064)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
dihydroceramidase activity (GO:0071633)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
L-glutamine aminotransferase activity (GO:0070548)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
inositol phosphate kinase activity (GO:0180030)	4	0	.14	-	 < 0.01	1.00E00	1.00E00
L-phenylalanine aminotransferase activity (GO:0070546)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
ubiquinone binding (GO:0048039)	4	0	.14	-	 < 0.01	1.00E00	1.00E00
cystathionine gamma-synthase activity (acts on O-phosphohomoserine) (GO:0102028)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
quinone binding (GO:0048038)	7	0	.24	-	 < 0.01	1.00E00	1.00E00
tRNA-specific adenosine-37 deaminase activity (GO:0043829)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
sulfite reductase (ferredoxin) activity (GO:0050311)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
small molecule sensor activity (GO:0140299)	20	0	.70	-	 < 0.01	1.00E00	1.00E00
imidazoleglycerol-phosphate synthase activity (GO:0000107)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
K63-linked polyubiquitin modification-dependent protein binding (GO:0070530)	7	0	.24	-	 < 0.01	1.00E00	1.00E00
succinate dehydrogenase activity (GO:0000104)	8	0	.28	-	 < 0.01	1.00E00	1.00E00
L-methionine secondary active transmembrane transporter activity (GO:0000102)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
monosaccharide binding (GO:0048029)	19	0	.66	-	 < 0.01	1.00E00	1.00E00
S-methylmethionine transmembrane transporter activity (GO:0000100)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
rRNA (cytosine-C5-)-methyltransferase activity (GO:0009383)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
mRNA 5'-UTR binding (GO:0048027)	4	0	.14	-	 < 0.01	1.00E00	1.00E00
single-stranded DNA exodeoxyribonuclease activity (GO:0008297)	6	0	.21	-	 < 0.01	1.00E00	1.00E00
deoxyhypusine monooxygenase activity (GO:0019135)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
membrane insertase activity (GO:0032977)	4	0	.14	-	 < 0.01	1.00E00	1.00E00
microtubule plus end polymerase (GO:0061863)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
lysophosphatidylethanolamine acyltransferase activity (GO:0071618)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
SUMO ligase regulator activity (GO:0180016)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol-4-phosphate phosphatase activity (GO:0043812)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
four-way junction helicase activity (GO:0009378)	6	0	.21	-	 < 0.01	1.00E00	1.00E00
receptor ligand activity (GO:0048018)	4	0	.14	-	 < 0.01	1.00E00	1.00E00
purine nucleotide-sugar transmembrane transporter activity (GO:0036080)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
telomeric G-quadruplex DNA binding (GO:0061849)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
secondary active sulfate transmembrane transporter activity (GO:0008271)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
scaffold protein binding (GO:0097110)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
nucleoside binding (GO:0001882)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
myristoyltransferase activity (GO:0019107)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
DNA N-glycosylase activity (GO:0019104)	5	0	.17	-	 < 0.01	1.00E00	1.00E00
rRNA cytidine N-acetyltransferase activity (GO:1990883)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
5'-nucleotidase activity (GO:0008253)	5	0	.17	-	 < 0.01	1.00E00	1.00E00
nucleotidase activity (GO:0008252)	10	0	.35	-	 < 0.01	1.00E00	1.00E00
tRNA-specific adenosine deaminase activity (GO:0008251)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
sterol binding (GO:0032934)	16	0	.56	-	 < 0.01	1.00E00	1.00E00
histone H3K56 acetyltransferase activity (GO:0032931)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
5'-deoxynucleotidase activity (GO:0002953)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
sterol transfer activity (GO:0120015)	11	0	.38	-	 < 0.01	1.00E00	1.00E00
adenyl-nucleotide exchange factor activity (GO:0000774)	7	0	.24	-	 < 0.01	1.00E00	1.00E00
phosphatidyl-N-methylethanolamine N-methyltransferase activity (GO:0000773)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
mating pheromone activity (GO:0000772)	4	0	.14	-	 < 0.01	1.00E00	1.00E00
omega peptidase activity (GO:0008242)	4	0	.14	-	 < 0.01	1.00E00	1.00E00
telomerase inhibitor activity (GO:0010521)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
long-chain fatty acyl-CoA binding (GO:0036042)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
dipeptidyl-peptidase activity (GO:0008239)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
exopeptidase activity (GO:0008238)	29	0	1.01	-	 < 0.01	6.25E-01	1.00E00
serine-type peptidase activity (GO:0008236)	17	0	.59	-	 < 0.01	1.00E00	1.00E00
metalloexopeptidase activity (GO:0008235)	16	0	.56	-	 < 0.01	1.00E00	1.00E00
fatty acid alpha-oxygenase activity (GO:0102672)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
mediator complex binding (GO:0036033)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
methionyl-initiator methionine tRNA binding (GO:1990856)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
carnosine N-methyltransferase activity (GO:0030735)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
SUMO transferase activity (GO:0019789)	14	0	.49	-	 < 0.01	1.00E00	1.00E00
NEDD8 transferase activity (GO:0019788)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
protein-phosphatidylethanolamide deconjugating activity (GO:0019786)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
deNEDDylase activity (GO:0019784)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
NEDD8 activating enzyme activity (GO:0019781)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
ribonucleoside-diphosphate reductase inhibitor activity (GO:1990846)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
promoter-specific chromatin binding (GO:1990841)	8	0	.28	-	 < 0.01	1.00E00	1.00E00
Atg8 activating enzyme activity (GO:0019779)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
Atg12 activating enzyme activity (GO:0019778)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
Atg12 transferase activity (GO:0019777)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
Atg8-family ligase activity (GO:0019776)	4	0	.14	-	 < 0.01	1.00E00	1.00E00
poly(U)-specific exoribonuclease activity, producing 3' uridine cyclic phosphate ends (GO:1990838)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
protein-glutamine N-methyltransferase activity (GO:0036009)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
sequence-specific mRNA binding (GO:1990825)	22	0	.77	-	 < 0.01	1.00E00	1.00E00
3-dehydrosphinganine reductase activity (GO:0047560)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
(R,R)-butanediol dehydrogenase activity (GO:0000721)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
3',5'-cyclic-GMP phosphodiesterase activity (GO:0047555)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
poly(A) RNA polymerase activity (GO:1990817)	5	0	.17	-	 < 0.01	1.00E00	1.00E00
DNA/DNA annealing activity (GO:1990814)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
nucleobase:monoatomic cation symporter activity (GO:0015391)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
2-methylcitrate dehydratase activity (GO:0047547)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
2-hydroxyglutarate dehydrogenase activity (GO:0047545)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
3'-5' RNA polymerase activity (GO:0097748)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity (GO:0000703)	2	0	.07	-	 < 0.01	1.00E00	1.00E00
sodium:proton antiporter activity (GO:0015385)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
oxidized base lesion DNA N-glycosylase activity (GO:0000702)	3	0	.10	-	 < 0.01	1.00E00	1.00E00
