COMPONENT	Ref_num	List_num	expected	upload_1 (over/under)	upload_1 (fold Enrichment)	pval	FDR
inositol phosphoceramide synthase complex (GO:0070916)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
endoplasmic reticulum-vacuole membrane contact site (GO:0098853)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
zeta DNA polymerase complex (GO:0016035)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
histone methyltransferase complex (GO:0035097)	8	0	0.28	-	 < 0.01	1.00E+00	1.00E+00
nascent polypeptide-associated complex (GO:0005854)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
eukaryotic translation elongation factor 1 complex (GO:0005853)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
eukaryotic translation initiation factor 3 complex (GO:0005852)	7	0	0.24	-	 < 0.01	1.00E+00	1.00E+00
eukaryotic translation initiation factor 2 complex (GO:0005850)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
Cul4-RING E3 ubiquitin ligase complex (GO:0080008)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
caspase complex (GO:0008303)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
Dsc E3 ubiquitin ligase complex (GO:0044695)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
cytoplasmic microtubule plus-end (GO:1904511)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
rixosome complex (GO:0120330)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
mRNA cleavage factor complex (GO:0005849)	20	0	0.69	-	 < 0.01	1.00E+00	1.00E+00
glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex (GO:0000506)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
mRNA cleavage stimulating factor complex (GO:0005848)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
mRNA cleavage and polyadenylation specificity factor complex (GO:0005847)	16	0	0.55	-	 < 0.01	1.00E+00	1.00E+00
nuclear cap binding complex (GO:0005846)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
RNA polymerase I upstream activating factor complex (GO:0000500)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
respirasome (GO:0070469)	40	0	1.39	-	 < 0.01	4.03E-01	1.00E+00
enzyme activator complex (GO:0150005)	7	0	0.24	-	 < 0.01	1.00E+00	1.00E+00
methionyl glutamyl tRNA synthetase complex (GO:0017102)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
aminoacyl-tRNA synthetase multienzyme complex (GO:0017101)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
mitochondrial [2Fe-2S] assembly complex (GO:0099128)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
SAGA-type complex (GO:0070461)	22	0	0.76	-	 < 0.01	1.00E+00	1.00E+00
HOPS complex (GO:0030897)	7	0	0.24	-	 < 0.01	1.00E+00	1.00E+00
checkpoint clamp complex (GO:0030896)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
endoplasmic reticulum quality control compartment (GO:0044322)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
mitotic cohesin complex (GO:0030892)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
"eukaryotic translation initiation factor 3 complex, eIF3m (GO:0071541)"	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
"eukaryotic translation initiation factor 3 complex, eIF3e (GO:0071540)"	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
proteasome core complex (GO:0005839)	16	0	0.55	-	 < 0.01	1.00E+00	1.00E+00
fatty acid synthase complex (GO:0005835)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
heterotrimeric G-protein complex (GO:0005834)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
chaperonin-containing T-complex (GO:0005832)	8	0	0.28	-	 < 0.01	1.00E+00	1.00E+00
receptor complex (GO:0043235)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
Vps55/Vps68 complex (GO:0034424)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
extracellular organelle (GO:0043230)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
"chromosome, subtelomeric region (GO:0099115)"	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
glucosidase complex (GO:1902687)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
kinetochore microtubule (GO:0005828)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
RQC-trigger complex (GO:0180022)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
polar microtubule (GO:0005827)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
half bridge of spindle pole body (GO:0005825)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
outer plaque of spindle pole body (GO:0005824)	7	0	0.24	-	 < 0.01	1.00E+00	1.00E+00
central plaque of spindle pole body (GO:0005823)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
inner plaque of spindle pole body (GO:0005822)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
intermediate layer of spindle pole body (GO:0005821)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
elongin complex (GO:0070449)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
CENP-A containing chromatin (GO:0061638)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
spore wall (GO:0031160)	12	0	0.42	-	 < 0.01	1.00E+00	1.00E+00
Bfa1-Bub2 complex (GO:1990334)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
Seh1-associated complex (GO:0035859)	8	0	0.28	-	 < 0.01	1.00E+00	1.00E+00
nucleolar chromatin (GO:0030874)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
Mre11 complex (GO:0030870)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
Hrd1p ubiquitin ligase ERAD-L complex (GO:0000839)	10	0	0.35	-	 < 0.01	1.00E+00	1.00E+00
Hrd1p ubiquitin ligase ERAD-M complex (GO:0000838)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
Doa10p ubiquitin ligase complex (GO:0000837)	7	0	0.24	-	 < 0.01	1.00E+00	1.00E+00
aster (GO:0005818)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
Hrd1p ubiquitin ligase complex (GO:0000836)	10	0	0.35	-	 < 0.01	1.00E+00	1.00E+00
ER ubiquitin ligase complex (GO:0000835)	11	0	0.38	-	 < 0.01	1.00E+00	1.00E+00
"chromosome, telomeric repeat region (GO:0140445)"	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
cortical microtubule plus-end (GO:1903754)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
tRNA (m7G46) methyltransferase complex (GO:0106143)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
extrachromosomal DNA (GO:0046821)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
RENT complex (GO:0030869)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
rough endoplasmic reticulum membrane (GO:0030867)	11	0	0.38	-	 < 0.01	1.00E+00	1.00E+00
CHRAC (GO:0008623)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
epsilon DNA polymerase complex (GO:0008622)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
RNA polymerase III transcription regulator complex (GO:0090576)	9	0	0.31	-	 < 0.01	1.00E+00	1.00E+00
phosphopantothenoylcysteine decarboxylase complex (GO:0071513)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
respiratory chain complex (GO:0098803)	36	0	1.25	-	 < 0.01	6.36E-01	1.00E+00
RNA polymerase II transcription repressor complex (GO:0090571)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
plasma membrane signaling receptor complex (GO:0098802)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
inner mitochondrial membrane protein complex (GO:0098800)	74	0	2.56	-	 < 0.01	1.85E-01	1.00E+00
i-AAA complex (GO:0031942)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
COP9 signalosome (GO:0008180)	7	0	0.24	-	 < 0.01	1.00E+00	1.00E+00
mitochondrial crista (GO:0030061)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
cis-Golgi network (GO:0005801)	18	0	0.62	-	 < 0.01	1.00E+00	1.00E+00
tubulin complex (GO:0045298)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
Ku70:Ku80 complex (GO:0043564)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
MICOS complex (GO:0061617)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
Atg1/ULK1 kinase complex (GO:1990316)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
growing cell tip (GO:0035838)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
trans-Golgi network membrane (GO:0032588)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
multivesicular body membrane (GO:0032585)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
cell cortex of cell tip (GO:0051285)	9	0	0.31	-	 < 0.01	1.00E+00	1.00E+00
SBF transcription complex (GO:0033309)	8	0	0.28	-	 < 0.01	1.00E+00	1.00E+00
COMA complex (GO:0000817)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
mating-type region heterochromatin (GO:0031934)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
TORC2 complex (GO:0031932)	8	0	0.28	-	 < 0.01	1.00E+00	1.00E+00
ESCRT II complex (GO:0000814)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
ESCRT I complex (GO:0000813)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
GINS complex (GO:0000811)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
"phosphatidylinositol 3-kinase complex, class III (GO:0035032)"	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
TRAMP complex (GO:0031499)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
nonhomologous end joining complex (GO:0070419)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
H3 histone acetyltransferase complex (GO:0070775)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
phosphopyruvate hydratase complex (GO:0000015)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
UBR1-RAD6 ubiquitin ligase complex (GO:1990303)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
phosphatase complex (GO:1903293)	26	0	0.9	-	 < 0.01	1.00E+00	1.00E+00
cytoophidium (GO:0097268)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
origin recognition complex (GO:0000808)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
host cell cytoplasm part (GO:0033655)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
transverse filament (GO:0000802)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
respiratory chain complex IV (GO:0045277)	17	0	0.59	-	 < 0.01	1.00E+00	1.00E+00
respiratory chain complex III (GO:0045275)	10	0	0.35	-	 < 0.01	1.00E+00	1.00E+00
UDP-N-acetylglucosamine transferase complex (GO:0043541)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
respiratory chain complex II (succinate dehydrogenase) (GO:0045273)	7	0	0.24	-	 < 0.01	1.00E+00	1.00E+00
cytoplasmic viral factory (GO:0039714)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
viral factory (GO:0039713)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
nuclear pore transmembrane ring (GO:0070762)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
pre-snoRNP complex (GO:0070761)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
host intracellular membrane-bounded organelle (GO:0033648)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
R2TP complex (GO:0097255)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
host intracellular organelle (GO:0033647)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
host intracellular part (GO:0033646)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
host cell part (GO:0033643)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
"proton-transporting ATP synthase, central stalk (GO:0045269)"	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
"proton-transporting ATP synthase, catalytic core (GO:0045267)"	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
microtubule plus-end (GO:0035371)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
"proton-transporting ATP synthase, stator stalk (GO:0045265)"	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
"proton-transporting ATP synthase complex, coupling factor F(o) (GO:0045263)"	13	0	0.45	-	 < 0.01	1.00E+00	1.00E+00
"proton-transporting ATP synthase complex, catalytic core F(1) (GO:0045261)"	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
nuclear pore nuclear basket (GO:0044615)	10	0	0.35	-	 < 0.01	1.00E+00	1.00E+00
nuclear pore cytoplasmic filaments (GO:0044614)	11	0	0.38	-	 < 0.01	1.00E+00	1.00E+00
meiotic recombination initiation complex (GO:0035808)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
nuclear pore central transport channel (GO:0044613)	14	0	0.49	-	 < 0.01	1.00E+00	1.00E+00
nuclear pore linkers (GO:0044612)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
nuclear pore inner ring (GO:0044611)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
cation-transporting ATPase complex (GO:0090533)	15	0	0.52	-	 < 0.01	1.00E+00	1.00E+00
early endosome membrane (GO:0031901)	8	0	0.28	-	 < 0.01	1.00E+00	1.00E+00
GET complex (GO:0043529)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
tRNA (m2G10) methyltransferase complex (GO:0043528)	2	0	0.07	-	 < 0.01	1.00E+00	1.00E+00
tRNA methyltransferase complex (GO:0043527)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
proton-transporting ATP synthase complex (GO:0045259)	18	0	0.62	-	 < 0.01	1.00E+00	1.00E+00
SMN-Sm protein complex (GO:0034719)	3	0	0.1	-	 < 0.01	1.00E+00	1.00E+00
Cul8-RING ubiquitin ligase complex (GO:0035361)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
Cdc24p-Far1p-Gbetagamma complex (GO:0120171)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
pICln-Sm protein complex (GO:0034715)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
septin complex (GO:0031105)	8	0	0.28	-	 < 0.01	1.00E+00	1.00E+00
THO complex (GO:0000347)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
"signal recognition particle, plasma membrane targeting (GO:0048501)"	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
oxoglutarate dehydrogenase complex (GO:0045252)	5	0	0.17	-	 < 0.01	1.00E+00	1.00E+00
Cul4A-RING E3 ubiquitin ligase complex (GO:0031464)	1	0	0.03	-	 < 0.01	1.00E+00	1.00E+00
signal recognition particle (GO:0048500)	7	0	0.24	-	 < 0.01	1.00E+00	1.00E+00
U6 snRNP (GO:0005688)	9	0	0.31	-	 < 0.01	1.00E+00	1.00E+00
U4 snRNP (GO:0005687)	6	0	0.21	-	 < 0.01	1.00E+00	1.00E+00
SLIK (SAGA-like) complex (GO:0046695)	16	0	0.55	-	 < 0.01	1.00E+00	1.00E+00
CURI complex (GO:0032545)	4	0	0.14	-	 < 0.01	1.00E+00	1.00E+00
